orderdate,year,month,day
2014-02-25,2014,2,25
2014-02-26,2014,2,26
2014-02-27,2014,2,27
2014-02-28,2014,2,28
2014-03-01,2014,3,1
2014-03-02,2014,3,2
2014-03-03,2014,3,3
2014-03-04,2014,3,4
2014-03-05,2014,3,5
2014-03-06,2014,3,6
2014-03-07,2014,3,7
2014-03-08,2014,3,8
2014-03-09,2014,3,9
2014-03-10,2014,3,10
2014-03-11,2014,3,11
2014-03-12,2014,3,12
2014-03-13,2014,3,13
2014-03-14,2014,3,14
2014-03-15,2014,3,15
2014-03-16,2014,3,16
2014-03-17,2014,3,17
2014-03-18,2014,3,18
2014-03-19,2014,3,19
2014-03-20,2014,3,20
2014-03-21,2014,3,21
2014-03-22,2014,3,22
2014-03-23,2014,3,23
2014-03-24,2014,3,24
2014-03-25,2014,3,25
2014-03-26,2014,3,26
2014-03-27,2014,3,27
2014-03-28,2014,3,28
2014-03-29,2014,3,29
2014-03-30,2014,3,30
2014-03-31,2014,3,31
2014-04-01,2014,4,1
2014-04-02,2014,4,2
2014-04-03,2014,4,3
2014-04-04,2014,4,4
2014-04-05,2014,4,5
2014-04-06,2014,4,6
2014-04-07,2014,4,7
2014-04-08,2014,4,8
2014-04-09,2014,4,9
2014-04-10,2014,4,10
2014-04-11,2014,4,11
2014-04-12,2014,4,12
2014-04-13,2014,4,13
2014-04-14,2014,4,14
2014-04-15,2014,4,15
2014-04-16,2014,4,16
2014-04-17,2014,4,17
2014-04-18,2014,4,18
2014-04-19,2014,4,19
2014-04-20,2014,4,20
2014-04-21,2014,4,21
2014-04-22,2014,4,22
2014-04-23,2014,4,23
2014-04-24,2014,4,24
2014-04-25,2014,4,25
2014-04-26,2014,4,26
2014-04-27,2014,4,27
2014-04-28,2014,4,28
2014-04-29,2014,4,29
2014-04-30,2014,4,30
2014-05-01,2014,5,1
2014-05-02,2014,5,2
2014-05-03,2014,5,3
2014-05-04,2014,5,4
2014-05-05,2014,5,5
2014-05-06,2014,5,6
2014-05-07,2014,5,7
2014-05-08,2014,5,8
2014-05-09,2014,5,9
2014-05-10,2014,5,10
2014-05-11,2014,5,11
2014-05-12,2014,5,12
2014-05-13,2014,5,13
2014-05-14,2014,5,14
2014-05-15,2014,5,15
2014-05-16,2014,5,16
2014-05-17,2014,5,17
2014-05-18,2014,5,18
2014-05-19,2014,5,19
2014-05-20,2014,5,20
2014-05-21,2014,5,21
2014-05-22,2014,5,22
2014-05-23,2014,5,23
2014-05-24,2014,5,24
2014-05-25,2014,5,25
2014-05-26,2014,5,26
2014-05-27,2014,5,27
2014-05-28,2014,5,28
2014-05-29,2014,5,29
2014-05-30,2014,5,30
2014-05-31,2014,5,31
2014-06-01,2014,6,1
2014-06-02,2014,6,2
2014-06-03,2014,6,3
2014-06-04,2014,6,4
2014-06-05,2014,6,5
2014-06-06,2014,6,6
2014-06-07,2014,6,7
2014-06-08,2014,6,8
2014-06-09,2014,6,9
2014-06-10,2014,6,10
2014-06-11,2014,6,11
2014-06-12,2014,6,12
2014-06-13,2014,6,13
2014-06-14,2014,6,14
2014-06-15,2014,6,15
2014-06-16,2014,6,16
2014-06-17,2014,6,17
2014-06-18,2014,6,18
2014-06-19,2014,6,19
2014-06-20,2014,6,20
2014-06-21,2014,6,21
2014-06-22,2014,6,22
2014-06-23,2014,6,23
2014-06-24,2014,6,24
2014-06-25,2014,6,25
2014-06-26,2014,6,26
2014-06-27,2014,6,27
2014-06-28,2014,6,28
2014-06-29,2014,6,29
2014-06-30,2014,6,30
